	loss	arch	us	ds	us_epochs	us_lr	us_bs	us_wd	ds_epochs	ds_lr	ds_bs	ds_wd	zero	1	5	10	20	full	100	200
77	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	128	1E-05	128	0.1	13.92	18.21	24.59	28.01	35.16	71.36		
78	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	128	3E-05	32	0.1	13.92	23.04	35.26	43.23	51.02	81		
79	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	128	3E-05	64	0.1	13.92	22.03	32.07	41.14	49.04	80.03		
80	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	128	3E-05	128	0.1	13.92	20.24	29.64	38.21	47.07	78.78		
81	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	128	0.0001	32	0.1	13.92	22.92	36.21	45.06	52.79	83.14		
82	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	128	0.0001	64	0.1	13.92	23.23	36.23	44.56	52.46	82.18		
83	CLIP	RN50	CC12m	CIFAR100	16	0.001	1024	0.1	128	0.0001	128	0.1	13.92	22.7	34.88	43.84	51.33	81.63		
84	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	64	1E-05	32	0.1	1.915	1.755	6.915	17.128	35.266	50.266		
85	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	64	1E-05	64	0.1	1.915	1.915	2.553	11.489	26.543	43.883		
86	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	64	1E-05	128	0.1	1.915	1.915	2.021	2.766	17.766	35.213		
87	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	64	3E-05	32	0.1	1.915	1.809	23.564	37.606	51.968	61.117		
88	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	64	3E-05	64	0.1	1.915	1.915	8.191	32.128	47.553	58.83		
89	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	64	3E-05	128	0.1	1.915	1.915	2.34	12.394	42.766	55.585		
90	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	64	0.0001	32	0.1	1.915	5	37.074	47.66	56.649	64.681		
91	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	64	0.0001	64	0.1	1.915	2.128	27.447	44.202	56.117	64.149		
92	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	64	0.0001	128	0.1	1.915	2.128	9.84	35.106	53.511	63.777		
93	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	128	1E-05	32	0.1	1.915	1.968	16.117	31.915	47.128	58.67		
94	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	128	1E-05	64	0.1	1.915	1.915	11.117	25	41.436	55.691		
95	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	128	1E-05	128	0.1	1.915	1.915	3.138	17.394	35.532	50		
96	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	128	3E-05	32	0.1	1.915	5.691	33.777	45.745	55.957	63.936		
97	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	128	3E-05	64	0.1	1.915	2.287	29.255	40.798	53.511	63.085		
98	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	128	3E-05	128	0.1	1.915	2.287	11.436	37.181	51.543	61.33		
99	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	128	0.0001	32	0.1	1.915	13.67	40.638	48.989	57.606	64.84		
100	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	128	0.0001	64	0.1	1.915	6.968	40.106	47.287	56.117	65.16		
101	CLIP	RN50	Redcaps2.7m	DTD	16	0.001	1024	0.1	128	0.0001	128	0.1	1.915	6.968	31.596	46.17	56.17	65		
102	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	64	1E-05	32	0.1	5.14	13.08	17.55	21.4	28.58	69.18		
103	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	64	1E-05	64	0.1	5.15	13.13	16.24	19.21	24.97	65.77		
104	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	64	1E-05	128	0.1	5.15	13.38	13.71	18.11	21.96	62.84		
105	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	64	3E-05	32	0.1	5.14	13.6	22.78	32.7	42.06	77.26		
106	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	64	3E-05	64	0.1	5.15	13.24	20.3	28.53	38.85	75.35		
107	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	64	3E-05	128	0.1	5.15	13.45	16.4	24.42	33.5	72.75		
108	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	64	0.0001	32	0.1	5.14	15.32	30.65	41.52	49.54	82.56		
109	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	64	0.0001	64	0.1	5.15	14.03	28.46	40.16	48.59	81.12		
110	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	64	0.0001	128	0.1	5.15	13.55	21.43	35.99	46.52	79.9		
111	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	128	1E-05	32	0.1	5.14	15.02	20.89	28.12	38.07	74.97		
112	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	128	1E-05	64	0.1	5.15	13.13	19.01	24.68	33.77	72.21		
113	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	128	1E-05	128	0.1	5.15	13.38	17.03	21.48	28.42	69.43		
114	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	128	3E-05	32	0.1	5.14	16.29	29.08	39.13	47.84	81.04		
115	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	128	3E-05	64	0.1	5.15	14.85	26.42	36.1	45.58	79.31		
116	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	128	3E-05	128	0.1	5.15	13.45	23.06	32.3	42.82	77.57		
117	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	128	0.0001	32	0.1	5.14	16.34	32.93	42.53	50.55	83.51		
118	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	128	0.0001	64	0.1	5.15	16.66	31.78	41.77	50.41	82.67		
119	CLIP	RN50	Redcaps2.7m	CIFAR100	16	0.001	1024	0.1	128	0.0001	128	0.1	5.15	15.34	29.55	40.74	49.57	81.69		
120	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	64	1E-05	32	0.1	2.819	3.138	6.596	12.766	29.415	44.202		
121	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	64	1E-05	64	0.1	2.819	3.245	3.032	8.777	21.064	38.085		
122	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	64	1E-05	128	0.1	2.819	3.245	3.191	3.67	13.404	30		
123	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	64	3E-05	32	0.1	2.819	3.138	19.628	33.351	46.543	56.649		
124	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	64	3E-05	64	0.1	2.819	3.245	7.394	28.351	42.181	53.777		
125	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	64	3E-05	128	0.1	2.819	3.245	3.191	9.787	36.596	50.106		
126	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	64	0.0001	32	0.1	2.819	4.787	32.021	43.457	52.819	61.702		
127	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	64	0.0001	64	0.1	2.819	3.245	23.67	41.17	51.596	60.266		
128	CLIP	RN50	YFCC2.7m	DTD	16	0.001	1024	0.1	64	0.0001	128	0.1	2.819	3.245	8.564	31.596	48.617	58.511		
